id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
564,SO2 (Sulfur Dioksida),-72.5,-10.01,Netral,Tidak Ada,0.0,Senyawa Kovalen,64.058,2.619,56.2,-296.8
565,SO3 (Sulfur Trioksida),28.18,44.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,80.057,,73.0,-454.5
566,SO4 (Peroksosulfat),50.0,200.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,96.056,,89.8,
567,TiO2 (Titanium Dioksida),1843.0,2750.0,Netral,Tidak Ada,0.0,Senyawa Ionik,111.733,4.3,33.6,
568,Zn,419.53,907.0,Netral,Tidak Ada,0.0,Logam Murni,65.38,7.1,,0.0
569,ZnCl2 (Seng Klorida),325.0,732.0,Netral,Tidak Ada,0.0,Senyawa Ionik,136.28,2.9,45.2,-415.1
570,[CH4-O2]* (Radikal Aktif),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,48.041,,87.6,
571,[Fe-HCl]* (Radikal Aktif),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,92.303,,34.0,
572,[Mg-HCl]* (Radikal Aktif),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,60.763,,34.0,
573,[Zn-HCl]* (Radikal Aktif),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,101.838,,34.0,
