id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
92,C20H41COOH (Asam Lemak/Karboksilat),51.25,371.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,326.565,0.87,688.8,-902.7619095448545
93,C20H41Cl (Kloroalkana),56.93,421.04,Netral,Tidak Ada,0.0,Senyawa Kovalen,316.998,0.792,658.0,-598.6755806234116
94,C20H41F (Fluoroalkana),42.6,341.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,300.546,0.792,656.4,-598.6755806234116
95,C20H41NH2 (Amina),59.48,396.05,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,297.571,0.82,684.2,-495.2329362858742
96,C20H41OH (Alkohol Alifatik),50.15,475.79,Netral,Tidak Ada,0.0,Senyawa Kovalen,298.555,0.847,663.6,-801.1068214285715
97,C20H42 (Alkana/Parafin),36.75,344.1,Netral,Tidak Ada,0.0,Senyawa Kovalen,282.556,0.792,646.8,-598.6755806234116
98,C21H40 (Alkuna),100.25,354.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,292.551,0.81,632.4,-517.3224605678233
99,C21H42 (Alkena/Olefin),63.85,495.2,Netral,Tidak Ada,0.0,Senyawa Kovalen,294.567,0.803,655.2,-483.5135417956657
100,C21H43COOH (Asam Lemak/Karboksilat),27.0,343.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,340.592,0.869,720.0,-930.6363324341387
101,C21H43Cl (Kloroalkana),135.0,490.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,331.025,0.795,689.2,-621.8985550541984
102,C21H43F (Fluoroalkana),53.87,353.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,314.573,0.795,687.6,-621.8985550541984
103,C21H43NH2 (Amina),85.75,341.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,311.598,0.821,715.4,-518.2023431129587
104,C21H43OH (Alkohol Alifatik),75.51,429.35,Netral,Tidak Ada,0.0,Senyawa Kovalen,312.582,0.847,694.8,-834.0807142857143
105,C21H44 (Alkana/Parafin),40.5,359.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,296.583,0.795,678.0,-621.8985550541984
106,C22H42 (Alkuna),111.52,366.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,306.578,0.813,663.6,-553.6643848580441
107,C22H44 (Alkena/Olefin),38.0,367.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,308.594,0.805,686.4,-510.3420650154799
108,C22H45COOH (Asam Lemak/Karboksilat),117.1,521.03,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,354.619,0.868,751.2,-958.5107553234229
109,C22H45Cl (Kloroalkana),79.47,466.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,345.052,0.798,720.4,-645.1215294849852
110,C22H45F (Fluoroalkana),65.14,364.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,328.6,0.798,718.8,-645.1215294849852
111,C22H45NH2 (Amina),97.02,352.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,325.625,0.822,746.6,-541.1717499400431
112,C22H45OH (Alkohol Alifatik),71.25,407.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,326.609,0.847,726.0,-867.0546071428571
113,C22H46 (Alkana/Parafin),44.4,368.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,310.61,0.798,709.2,-645.1215294849852
114,C23H44 (Alkuna),122.79,378.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,320.605,0.816,694.8,-590.0063091482649
115,C23H46 (Alkena/Olefin),74.06,379.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,322.621,0.808,717.6,-537.1705882352941
116,C23H47COOH (Asam Lemak/Karboksilat),129.42,533.79,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,368.646,0.867,782.4,-986.3851782127074
117,C23H47Cl (Kloroalkana),165.0,550.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,359.079,0.8,751.6,-668.3445039157721
118,C23H47F (Fluoroalkana),76.41,375.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,342.627,0.8,750.0,-668.3445039157721
119,C23H47NH2 (Amina),108.29,363.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,339.652,0.823,777.8,-564.1411567671277
